t;ax_g;ay_g;az_g;x_g;y_g;z_g;tx_g;ty_g;tz_g
0.120900497;95794.4841668245;52342.4353318255;97375.8828245269;419.478414912287;114.382077871965;-206.30898201976;0.847141199558331;-1.45030919772746;-0.390932927963455
0.121000201;96952.5941088326;53085.4258286778;95499.8108734096;420.808339137292;114.801519058397;-206.464866953485;0.846082834918942;-1.4509948853843;-0.390758909474197
0.121100597;97437.2836738567;53695.6810680083;93387.5236196999;422.148465935061;115.224404296196;-206.620875181971;0.845013065625285;-1.45167898426559;-0.390583504647647
0.121200196;96217.3836867889;54184.3320527391;91298.0834591998;423.478920255785;115.644466909327;-206.774714723539;0.84393308871036;-1.45236072242645;-0.390407051323507
0.1213006;94043.668744871;54611.2180598936;89998.6271078037;424.821091501454;116.068468535657;-206.928879027671;0.84284213325546;-1.45304039464119;-0.390229534367721
0.121400297;91526.6769461471;54719.2113519018;89691.6101891503;426.154749024279;116.490028464914;-207.081057574406;0.841739607610911;-1.45371840692402;-0.390050921335752
0.121500596;89742.5566675431;53998.4747650225;89743.660652361;427.497379356254;116.91468063246;-207.233254541958;0.840626489494522;-1.45439424155154;-0.389871408317908
0.1216003;88285.4262663672;53724.2983599926;89349.4245372129;428.832940474324;117.337353166821;-207.383654953419;0.839502390063872;-1.45506842613429;-0.389690883940266
0.121700697;86846.6584099694;53587.9211275437;89279.9757295905;430.178671336105;117.763503508475;-207.534202428029;0.838367025824938;-1.45574129036147;-0.389509092961866
0.121800303;85927.5304192947;53026.4646976762;89944.338598408;431.514665934269;118.18682905448;-207.682672664083;0.83722200577748;-1.45641213805531;-0.389325893631699
0.1219;85873.3817285149;52489.3871996277;90686.1873411055;432.852736930017;118.611068225405;-207.830384755423;0.836071379675605;-1.45707881459222;-0.38914145264802
0.122000404;85759.9589745079;52997.7217934809;90674.8243197479;434.201159327282;119.038845788726;-207.978235244869;0.834907100188915;-1.45774618216068;-0.388954002627844
0.1221001;85095.0553796516;54168.1518567011;89710.9155727627;435.54092735963;119.464137139963;-208.124141087812;0.833734242058434;-1.45841144362035;-0.388763930892239
0.1222004;84212.9752488597;54653.0530862124;88775.5897392894;436.889665196251;119.892546673107;-208.270031049506;0.832553417039109;-1.45907412858405;-0.388571007548589
0.122300103;83668.9271007079;54467.7948725347;87451.9457775801;438.231215646047;120.318949494034;-208.414168471782;0.831363772900043;-1.45973463394725;-0.388375076168332
0.122400403;83615.6693043087;53548.4738477364;85436.5391156291;439.581639447914;120.748449994048;-208.558293561208;0.830164943178342;-1.46039298758348;-0.388176353845468
0.122500099;82943.210992694;51872.7197961082;84206.6555527984;440.92476314681;121.175896050739;-208.700697005519;0.828956822622441;-1.46104915909398;-0.38797526068682
0.1226006;82224.835186509;49925.5873015909;84141.9617173718;442.279566239732;121.607314660916;-208.84340025682;0.827738147179384;-1.46170380194884;-0.387772030063333
0.122700296;82272.1102008616;47183.6149405015;84219.4202485361;443.624340008351;122.035773956311;-208.984120431049;0.826510540043308;-1.46235632835586;-0.387567298114465
0.122800097;82756.6912111056;44342.1501701229;84640.8175279182;444.971350202936;122.465153963741;-209.124149551046;0.825278806502541;-1.46300449476052;-0.387362196279149
0.122900501;82665.2897858284;43093.923341031;85702.4841061843;446.327329382629;122.897577936925;-209.264172411546;0.824034663206801;-1.46365289703444;-0.387155675623372
0.123000301;81091.7791836583;43346.4768034535;86350.2621562444;447.675973555002;123.327834850492;-209.402497800379;0.822782670025345;-1.46429930352819;-0.386948678963806
0.123099998;78669.9465110093;43539.1952883141;86977.0554041495;449.024030163603;123.758078626511;-209.539821761268;0.821527163400049;-1.46494157195147;-0.386741960373256
0.123200499;76523.0874806429;43694.5759496855;87223.0550632201;450.383750156402;124.192229991673;-209.67737911774;0.820259005977194;-1.46558447445936;-0.38653404973174
0.123300202;75060.1248118686;43826.4689970458;87688.4360264312;451.733439152659;124.62337013063;-209.812973171242;0.818982372367699;-1.46622611118262;-0.386325659268043
0.123400599;74124.037356493;42847.4242477375;88399.1378474912;453.093278153049;125.057948722657;-209.948629618576;0.817697794000064;-1.46686640023813;-0.386116799986593
0.123500399;74331.0082796545;40532.4812596603;89388.3708064176;454.445774363295;125.490367866345;-210.082595624041;0.816404105411731;-1.4675061327542;-0.385907111091067
0.123600103;75357.7955896184;37430.3557934891;89863.8684201684;455.797710884045;125.922772227784;-210.215545015982;0.815106632668133;-1.46814274168199;-0.38569736424226
0.1237005;76081.351570964;35996.1659863762;90707.6038573936;457.159800344695;126.358562175976;-210.348514884386;0.813797308148632;-1.46878006601474;-0.385486365983153
0.1238003;75975.258141773;36138.9115116905;90856.5641216698;458.514548249535;126.792124289487;-210.479789650714;0.812479744794639;-1.46941635083672;-0.385274985645795
0.123900197;75916.8902478623;37065.4228815837;90248.6956105382;459.871370832328;127.226470226713;-210.610287641805;0.811157922275829;-1.47004996222363;-0.385064165444185
0.124000102;74601.8807328098;37637.2250796054;89359.1879114824;461.229056634024;127.661219998046;-210.739896049402;0.809827734384645;-1.47068312546438;-0.384853411575069
0.124100603;71967.9967103761;37901.570831754;88796.8826314596;462.595589865994;128.098941599849;-210.869376952891;0.80848580980589;-1.47131730168357;-0.384642038302832
0.124200501;71581.1852002865;38299.6980644117;87939.6135985362;463.954650006238;128.534416612443;-210.997192873338;0.807136493311892;-1.47195011825864;-0.384430251861906
0.124300398;73458.4610898866;38948.9553768145;87838.743678161;465.314416532192;128.970270102688;-211.12412803729;0.805784106368369;-1.47257928140273;-0.384218330463517
0.1244004;76274.0770974935;38524.0021910424;88242.9078548695;466.676348864305;129.406968327678;-211.250317396806;0.80442429488509;-1.47320689042466;-0.384005539328577
0.124500297;78591.4571397486;36860.2283445519;86951.1641843002;468.03761151602;129.843589588021;-211.375497417234;0.803058342493401;-1.47383270675184;-0.383792300247086
0.124600202;79426.7267553417;36713.5532595272;85151.1109424762;469.399763873892;130.280617486832;-211.499820905402;0.801687212557715;-1.47445649845106;-0.383579030676354
0.124700099;79026.4559907512;37243.9553857688;83581.4382857783;470.762596736952;130.717978473696;-211.623284071182;0.800309993163795;-1.47507859346951;-0.383365733676305
0.124799997;78331.9970549831;37850.2879064764;81798.6293004236;472.126231157707;131.155715706436;-211.745914898645;0.798926228392913;-1.47569900976692;-0.383152385907303
0.124900602;77461.9210262064;37402.5195259788;81382.6832560752;473.500305901876;131.596929995394;-211.86858517958;0.797530638794097;-1.47631994171218;-0.382938213551483
0.125000507;77350.1777097339;35826.0435163725;81893.0522116004;474.865597729124;132.035446171536;-211.989584486748;0.796128350376132;-1.47693913150139;-0.382724043580106
0.125100404;78950.806126319;34088.0220534868;83328.8537077673;476.231556441394;132.474284367422;-212.109754518933;0.794724932579264;-1.47755420370004;-0.382510708201522
0.125200301;81422.6407487844;32955.8087603798;84534.1237406993;477.598305209708;132.91346425308;-212.229093553414;0.793315993473374;-1.4781670327823;-0.38229748916562
0.125300199;82374.8021521003;34168.2086846071;83919.350170102;478.965876430392;133.352983269103;-212.347594709919;0.791901647015426;-1.47877727140408;-0.382084342301044
0.125400096;81657.6408333389;35633.5310294646;81550.539727525;480.334251852751;133.792839496713;-212.465261586405;0.790481774746784;-1.47938460262482;-0.381871000758148
0.125500098;80441.2417807499;36523.9769891482;79318.4932616257;481.704880481062;134.23351277864;-212.582236694925;0.789055434728668;-1.47998922992764;-0.381656939439695
0.125599995;79311.5968592176;37215.964355212;77889.7345995354;483.074873375787;134.674087544731;-212.698295004294;0.787623235154942;-1.48059086489389;-0.381441994532125
0.125700697;79979.16420605;37059.5963749443;77805.5252551359;484.456711693463;135.118586352383;-212.814498452186;0.786180049578422;-1.48119156005927;-0.381225434009698
0.125800595;81650.1355977233;36496.2168115059;78520.2350613614;485.828321342211;135.559906618895;-212.928992548915;0.784730960675456;-1.48178906380128;-0.381008328794216
0.125900596;84298.9724285211;35912.7400075182;78567.8203649985;487.202163737581;136.002046639222;-213.042821547307;0.783281193127855;-1.48238099350585;-0.380791803464943
